,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
4449,United States of America,Sierra Leone,2003,1378,"(-11.779889, 8.460555)",
4450,United States of America,Slovakia,2003,1,"(19.699024, 48.669026)",
4451,United States of America,Somalia,2003,1993,"(46.199616, 5.152149)",
4452,United States of America,Sri Lanka,2003,7,"(80.771797, 7.873054)",
4453,United States of America,Sudan,2003,2140,"(30.217636, 12.862807)",
4454,United States of America,Syrian Arab Rep.,2003,3,,
4455,United States of America,Tajikistan,2003,13,"(71.276093, 38.861034)",
4456,United States of America,Thailand,2003,2,"(100.992541, 15.870032)",
4457,United States of America,The former Yugoslav Rep. of Macedonia,2003,13,,
4458,United States of America,Togo,2003,39,"(0.824782, 8.619543)",
4459,United States of America,Turkmenistan,2003,4,"(59.556278, 38.969719)",
4460,United States of America,Uganda,2003,1,"(32.290275, 1.373333)",
4461,United States of America,Ukraine,2003,5065,"(31.16558, 48.379433)",
4462,United States of America,Uzbekistan,2003,166,"(64.585262, 41.377491)",
4463,United States of America,Various/unknown,2003,1827,,
4464,United States of America,Viet Nam,2003,1472,,
4465,United States of America,Yemen,2003,1,"(48.516388, 15.552727)",
4466,United States of America,Zambia,2003,1,"(27.849332, -13.133897)",
4471,Australia,Congo,2004,316,,"(133.775136, -25.274398)"
4473,Australia,Dem. Rep. of the Congo,2004,13,,"(133.775136, -25.274398)"
4480,Australia,Iran (Islamic Rep. of),2004,661,,"(133.775136, -25.274398)"
4484,Australia,Lao People's Dem. Rep.,2004,47,,"(133.775136, -25.274398)"
4488,Australia,Myanmar,2004,100,,"(133.775136, -25.274398)"
4491,Australia,Serbia and Kosovo: S/RES/1244 (1999),2004,267,,"(133.775136, -25.274398)"
4496,Australia,Syrian Arab Rep.,2004,27,,"(133.775136, -25.274398)"
4501,Australia,United Rep. of Tanzania,2004,144,,"(133.775136, -25.274398)"
4502,Australia,Various/unknown,2004,211,,"(133.775136, -25.274398)"
4505,Brazil,Palestinian,2004,1,,"(-51.92528, -14.235004)"
4513,Canada,Congo,2004,55,,"(-106.346771, 56.130366)"
4515,Canada,Dem. Rep. of the Congo,2004,531,,"(-106.346771, 56.130366)"
4521,Canada,Iran (Islamic Rep. of),2004,510,,"(-106.346771, 56.130366)"
4526,Canada,Myanmar,2004,125,,"(-106.346771, 56.130366)"
4528,Canada,Russian Federation,2004,104,,"(-106.346771, 56.130366)"
4530,Canada,Serbia and Kosovo: S/RES/1244 (1999),2004,51,,"(-106.346771, 56.130366)"
4535,Canada,Syrian Arab Rep.,2004,10,,"(-106.346771, 56.130366)"
4539,Canada,Various/unknown,2004,149,,"(-106.346771, 56.130366)"
4547,Denmark,Dem. Rep. of the Congo,2004,129,,"(9.501785, 56.26392)"
4551,Denmark,Iran (Islamic Rep. of),2004,10,,"(9.501785, 56.26392)"
4554,Denmark,Myanmar,2004,157,,"(9.501785, 56.26392)"
4556,Denmark,Russian Federation,2004,4,,"(9.501785, 56.26392)"
4566,Finland,Iran (Islamic Rep. of),2004,138,,"(25.748151, 61.92411)"
4570,Finland,Various/unknown,2004,34,,"(25.748151, 61.92411)"
4573,Ireland,Iran (Islamic Rep. of),2004,22,,"(-8.24389, 53.41291)"
4574,Ireland,Russian Federation,2004,20,,"(-8.24389, 53.41291)"
4579,Jordan,Stateless,2004,5,,"(36.238414, 30.585164)"
4581,Mexico,Dem. Rep. of the Congo,2004,8,,"(-102.552784, 23.634501)"
4587,Netherlands,Congo,2004,3,,"(5.291266, 52.132633)"
4588,Netherlands,Dem. Rep. of the Congo,2004,126,,"(5.291266, 52.132633)"
4593,Netherlands,Iran (Islamic Rep. of),2004,1,,"(5.291266, 52.132633)"
4596,Netherlands,Russian Federation,2004,24,,"(5.291266, 52.132633)"
4598,Netherlands,Serbia and Kosovo: S/RES/1244 (1999),2004,3,,"(5.291266, 52.132633)"
4601,Netherlands,Stateless,2004,1,,"(5.291266, 52.132633)"
4603,Netherlands,Syrian Arab Rep.,2004,7,,"(5.291266, 52.132633)"
4607,Netherlands,Viet Nam,2004,7,,"(5.291266, 52.132633)"
4611,New Zealand,Dem. Rep. of the Congo,2004,5,,"(174.885971, -40.900557)"
4614,New Zealand,Iran (Islamic Rep. of),2004,23,,"(174.885971, -40.900557)"
4617,New Zealand,Myanmar,2004,7,,"(174.885971, -40.900557)"
4619,New Zealand,Palestinian,2004,8,,"(174.885971, -40.900557)"
4623,New Zealand,Syrian Arab Rep.,2004,3,,"(174.885971, -40.900557)"
4629,Norway,Congo,2004,5,,"(8.468946, 60.472024)"
4630,Norway,Dem. Rep. of the Congo,2004,26,,"(8.468946, 60.472024)"
4635,Norway,Iran (Islamic Rep. of),2004,62,,"(8.468946, 60.472024)"
4637,Norway,Lao People's Dem. Rep.,2004,2,,"(8.468946, 60.472024)"
4640,Norway,Myanmar,2004,256,,"(8.468946, 60.472024)"
4641,Norway,Russian Federation,2004,5,,"(8.468946, 60.472024)"
4645,Norway,Stateless,2004,3,,"(8.468946, 60.472024)"
4647,Norway,Syrian Arab Rep.,2004,6,,"(8.468946, 60.472024)"
4658,Sweden,Central African Rep.,2004,8,,"(18.643501, 60.128161)"
4661,Sweden,Congo,2004,8,,"(18.643501, 60.128161)"
4663,Sweden,Dem. Rep. of the Congo,2004,18,,"(18.643501, 60.128161)"
4669,Sweden,Iran (Islamic Rep. of),2004,629,,"(18.643501, 60.128161)"
4671,Sweden,Lao People's Dem. Rep.,2004,1,,"(18.643501, 60.128161)"
4675,Sweden,Myanmar,2004,128,,"(18.643501, 60.128161)"
4679,Sweden,Russian Federation,2004,162,,"(18.643501, 60.128161)"
4682,Sweden,Serbia and Kosovo: S/RES/1244 (1999),2004,1,,"(18.643501, 60.128161)"
4686,Sweden,Stateless,2004,4,,"(18.643501, 60.128161)"
4688,Sweden,Syrian Arab Rep.,2004,7,,"(18.643501, 60.128161)"
4693,Sweden,United States of America,2004,1,,"(18.643501, 60.128161)"
4694,Sweden,Viet Nam,2004,10,,"(18.643501, 60.128161)"
4696,United Kingdom of Great Britain and Northern Ireland,Various/unknown,2004,150,,
4697,United States of America,Afghanistan,2004,959,"(67.709953, 33.93911)",
4698,United States of America,Albania,2004,2,"(20.168331, 41.153332)",
4699,United States of America,Algeria,2004,1,"(1.659626, 28.033886)",
4700,United States of America,Angola,2004,20,"(17.873887, -11.202692)",
4701,United States of America,Armenia,2004,88,"(45.038189, 40.069099)",
4702,United States of America,Azerbaijan,2004,407,"(47.576927, 40.143105)",
4703,United States of America,Belarus,2004,659,"(27.953389, 53.709807)",
4704,United States of America,Bosnia and Herzegovina,2004,244,"(17.679076, 43.915886)",
4705,United States of America,Burundi,2004,276,"(29.918886, -3.373056)",
4706,United States of America,Cambodia,2004,3,"(104.990963, 12.565679)",
4707,United States of America,Cameroon,2004,1,"(12.354722, 7.369722)",
4708,United States of America,Central African Rep.,2004,24,,
4709,United States of America,Chad,2004,4,"(18.732207, 15.454166)",
4710,United States of America,China,2004,3,"(104.195397, 35.86166)",
4711,United States of America,Colombia,2004,577,"(-74.297333, 4.570868)",
4712,United States of America,Congo,2004,73,,
4713,United States of America,Costa Rica,2004,1,"(-83.753428, 9.748917)",
4714,United States of America,Croatia,2004,92,"(15.2, 45.1)",
4715,United States of America,Cuba,2004,2958,"(-77.781167, 21.521757)",
4716,United States of America,Dem. Rep. of the Congo,2004,569,,
4717,United States of America,Djibouti,2004,6,"(42.590275, 11.825138)",
4718,United States of America,Ecuador,2004,2,"(-78.183406, -1.831239)",
4719,United States of America,Egypt,2004,3,"(30.802498, 26.820553)",
4720,United States of America,Eritrea,2004,128,"(39.782334, 15.179384)",
4721,United States of America,Estonia,2004,27,"(25.013607, 58.595272)",
4722,United States of America,Ethiopia,2004,2710,"(40.489673, 9.145)",
4723,United States of America,Gambia,2004,3,"(-15.310139, 13.443182)",
4724,United States of America,Georgia,2004,33,"(43.356892, 42.315407)",
4725,United States of America,Ghana,2004,1,"(-1.023194, 7.946527)",
4726,United States of America,Haiti,2004,17,"(-72.285215, 18.971187)",
4727,United States of America,India,2004,1,"(78.96288, 20.593684)",
4728,United States of America,Indonesia,2004,5,"(113.921327, -0.789275)",
4729,United States of America,Iran (Islamic Rep. of),2004,1787,,
4730,United States of America,Iraq,2004,66,"(43.679291, 33.223191)",
4731,United States of America,Israel,2004,1,"(34.851612, 31.046051)",
4732,United States of America,Kazakhstan,2004,312,"(66.923684, 48.019573)",
4733,United States of America,Kuwait,2004,14,"(47.481766, 29.31166)",
4734,United States of America,Kyrgyzstan,2004,100,"(74.766098, 41.20438)",
4735,United States of America,Lao People's Dem. Rep.,2004,6005,,
4736,United States of America,Latvia,2004,52,"(24.603189, 56.879635)",
4737,United States of America,Lebanon,2004,2,"(35.862285, 33.854721)",
4738,United States of America,Liberia,2004,7140,"(-9.429499, 6.428055)",
4739,United States of America,Lithuania,2004,13,"(23.881275, 55.169438)",
4740,United States of America,Myanmar,2004,1056,,
4741,United States of America,Nepal,2004,1,"(84.124008, 28.394857)",
4742,United States of America,Nigeria,2004,34,"(8.675277, 9.081999)",
4743,United States of America,Pakistan,2004,11,"(69.345116, 30.375321)",
4744,United States of America,Rep. of Moldova,2004,1711,,
4745,United States of America,Russian Federation,2004,1446,,
4746,United States of America,Rwanda,2004,176,"(29.873888, -1.940278)",
4747,United States of America,Serbia and Kosovo: S/RES/1244 (1999),2004,151,,
4748,United States of America,Sierra Leone,2004,1084,"(-11.779889, 8.460555)",
4749,United States of America,Somalia,2004,13331,"(46.199616, 5.152149)",
4750,United States of America,Sri Lanka,2004,1,"(80.771797, 7.873054)",
4751,United States of America,Sudan,2004,3500,"(30.217636, 12.862807)",
4752,United States of America,Tajikistan,2004,2,"(71.276093, 38.861034)",
4753,United States of America,Togo,2004,35,"(0.824782, 8.619543)",
4754,United States of America,Turkmenistan,2004,7,"(59.556278, 38.969719)",
4755,United States of America,Uganda,2004,8,"(32.290275, 1.373333)",
4756,United States of America,Ukraine,2004,3482,"(31.16558, 48.379433)",
4757,United States of America,Uzbekistan,2004,426,"(64.585262, 41.377491)",
4758,United States of America,Viet Nam,2004,1007,,
4759,United States of America,Yemen,2004,8,"(48.516388, 15.552727)",
4760,United States of America,Zambia,2004,2,"(27.849332, -13.133897)",
4772,Australia,Congo,2005,99,,"(133.775136, -25.274398)"
4774,Australia,Dem. Rep. of the Congo,2005,138,,"(133.775136, -25.274398)"
4784,Australia,Iran (Islamic Rep. of),2005,349,,"(133.775136, -25.274398)"
4789,Australia,Lao People's Dem. Rep.,2005,6,,"(133.775136, -25.274398)"
4795,Australia,Myanmar,2005,439,,"(133.775136, -25.274398)"
4799,Australia,Palestinian,2005,4,,"(133.775136, -25.274398)"
4803,Australia,Serbia and Kosovo: S/RES/1244 (1999),2005,41,,"(133.775136, -25.274398)"
4808,Australia,Stateless,2005,1,,"(133.775136, -25.274398)"
4810,Australia,Syrian Arab Rep.,2005,39,,"(133.775136, -25.274398)"
4816,Australia,United Rep. of Tanzania,2005,339,,"(133.775136, -25.274398)"
4817,Australia,Various/unknown,2005,12,,"(133.775136, -25.274398)"
4818,Australia,Viet Nam,2005,3,,"(133.775136, -25.274398)"
4837,Canada,Central African Rep.,2005,14,,"(-106.346771, 56.130366)"
4841,Canada,Congo,2005,47,,"(-106.346771, 56.130366)"
4844,Canada,Dem. Rep. of the Congo,2005,482,,"(-106.346771, 56.130366)"
4856,Canada,Iran (Islamic Rep. of),2005,260,,"(-106.346771, 56.130366)"
4870,Canada,Myanmar,2005,90,,"(-106.346771, 56.130366)"
4873,Canada,Palestinian,2005,1,,"(-106.346771, 56.130366)"
4875,Canada,Rep. of Moldova,2005,1,,"(-106.346771, 56.130366)"
4876,Canada,Russian Federation,2005,95,,"(-106.346771, 56.130366)"
4879,Canada,Serbia and Kosovo: S/RES/1244 (1999),2005,44,,"(-106.346771, 56.130366)"
4883,Canada,Stateless,2005,35,,"(-106.346771, 56.130366)"
4885,Canada,Syrian Arab Rep.,2005,6,,"(-106.346771, 56.130366)"
4892,Canada,United Kingdom of Great Britain and Northern Ireland,2005,2,,"(-106.346771, 56.130366)"
4893,Canada,United Rep. of Tanzania,2005,1,,"(-106.346771, 56.130366)"
4894,Canada,United States of America,2005,1,,"(-106.346771, 56.130366)"
4896,Canada,Various/unknown,2005,1,,"(-106.346771, 56.130366)"
4897,Canada,Venezuela (Bolivarian Republic of),2005,8,,"(-106.346771, 56.130366)"
4898,Canada,Viet Nam,2005,57,,"(-106.346771, 56.130366)"
4907,Denmark,Congo,2005,4,,"(9.501785, 56.26392)"
4908,Denmark,Dem. Rep. of the Congo,2005,75,,"(9.501785, 56.26392)"
4912,Denmark,Iran (Islamic Rep. of),2005,116,,"(9.501785, 56.26392)"
4915,Denmark,Myanmar,2005,133,,"(9.501785, 56.26392)"
4921,Finland,Iran (Islamic Rep. of),2005,115,,"(25.748151, 61.92411)"
4922,Finland,Myanmar,2005,72,,"(25.748151, 61.92411)"
4924,Finland,Various/unknown,2005,106,,"(25.748151, 61.92411)"
4925,Finland,Viet Nam,2005,70,,"(25.748151, 61.92411)"
4927,Iceland,Serbia and Kosovo: S/RES/1244 (1999),2005,7,,"(-19.020835, 64.963051)"
4929,Ireland,Dem. Rep. of the Congo,2005,7,,"(-8.24389, 53.41291)"
4930,Ireland,Iran (Islamic Rep. of),2005,46,,"(-8.24389, 53.41291)"
4931,Ireland,Russian Federation,2005,42,,"(-8.24389, 53.41291)"
4935,Mexico,Dem. Rep. of the Congo,2005,19,,"(-102.552784, 23.634501)"
4942,Netherlands,Central African Rep.,2005,1,,"(5.291266, 52.132633)"
4946,Netherlands,Dem. Rep. of the Congo,2005,17,,"(5.291266, 52.132633)"
4949,Netherlands,Iran (Islamic Rep. of),2005,13,,"(5.291266, 52.132633)"
4952,Netherlands,Myanmar,2005,1,,"(5.291266, 52.132633)"
4954,Netherlands,Russian Federation,2005,1,,"(5.291266, 52.132633)"
4959,Netherlands,Stateless,2005,9,,"(5.291266, 52.132633)"
4965,New Zealand,Dem. Rep. of the Congo,2005,9,,"(174.885971, -40.900557)"
4969,New Zealand,Iran (Islamic Rep. of),2005,122,,"(174.885971, -40.900557)"
4973,New Zealand,Myanmar,2005,2,,"(174.885971, -40.900557)"
4974,New Zealand,Palestinian,2005,23,,"(174.885971, -40.900557)"
4975,New Zealand,Russian Federation,2005,2,,"(174.885971, -40.900557)"
4990,Norway,Congo,2005,18,,"(8.468946, 60.472024)"
4991,Norway,Dem. Rep. of the Congo,2005,259,,"(8.468946, 60.472024)"
4996,Norway,Iran (Islamic Rep. of),2005,4,,"(8.468946, 60.472024)"
4998,Norway,Myanmar,2005,274,,"(8.468946, 60.472024)"
5000,Norway,Russian Federation,2005,8,,"(8.468946, 60.472024)"
5017,Sweden,Central African Rep.,2005,10,,"(18.643501, 60.128161)"
5020,Sweden,Congo,2005,9,,"(18.643501, 60.128161)"
5023,Sweden,Dem. Rep. of the Congo,2005,16,,"(18.643501, 60.128161)"
5028,Sweden,Iran (Islamic Rep. of),2005,9,,"(18.643501, 60.128161)"
5032,Sweden,Myanmar,2005,408,,"(18.643501, 60.128161)"
5036,Sweden,Russian Federation,2005,7,,"(18.643501, 60.128161)"
5040,Sweden,Stateless,2005,2,,"(18.643501, 60.128161)"
5042,Sweden,Syrian Arab Rep.,2005,6,,"(18.643501, 60.128161)"
5047,United Kingdom of Great Britain and Northern Ireland,Various/unknown,2005,175,,
5048,United States of America,Afghanistan,2005,902,"(67.709953, 33.93911)",
5049,United States of America,Algeria,2005,1,"(1.659626, 28.033886)",
5050,United States of America,Angola,2005,21,"(17.873887, -11.202692)",
5051,United States of America,Armenia,2005,86,"(45.038189, 40.069099)",
5052,United States of America,Azerbaijan,2005,299,"(47.576927, 40.143105)",
5053,United States of America,Belarus,2005,445,"(27.953389, 53.709807)",
5054,United States of America,Bosnia and Herzegovina,2005,61,"(17.679076, 43.915886)",
5055,United States of America,Burundi,2005,214,"(29.918886, -3.373056)",
5056,United States of America,Côte d'Ivoire,2005,5,"(-5.54708, 7.539989)",
5057,United States of America,Cambodia,2005,9,"(104.990963, 12.565679)",
5058,United States of America,Cameroon,2005,6,"(12.354722, 7.369722)",
5059,United States of America,China,2005,13,"(104.195397, 35.86166)",
5060,United States of America,Colombia,2005,323,"(-74.297333, 4.570868)",
5061,United States of America,Congo,2005,43,,
5062,United States of America,Croatia,2005,39,"(15.2, 45.1)",
5063,United States of America,Cuba,2005,6361,"(-77.781167, 21.521757)",
5064,United States of America,Dem. Rep. of the Congo,2005,424,,
5065,United States of America,Ecuador,2005,8,"(-78.183406, -1.831239)",
5066,United States of America,Equatorial Guinea,2005,25,"(10.267895, 1.650801)",
5067,United States of America,Eritrea,2005,329,"(39.782334, 15.179384)",
5068,United States of America,Estonia,2005,17,"(25.013607, 58.595272)",
5069,United States of America,Ethiopia,2005,1665,"(40.489673, 9.145)",
5070,United States of America,Georgia,2005,11,"(43.356892, 42.315407)",
5071,United States of America,Germany,2005,1,"(10.451526, 51.165691)",
5072,United States of America,Ghana,2005,1,"(-1.023194, 7.946527)",
5073,United States of America,Haiti,2005,8,"(-72.285215, 18.971187)",
5074,United States of America,India,2005,1,"(78.96288, 20.593684)",
5075,United States of America,Indonesia,2005,6,"(113.921327, -0.789275)",
5076,United States of America,Iran (Islamic Rep. of),2005,1856,,
5077,United States of America,Iraq,2005,198,"(43.679291, 33.223191)",
5078,United States of America,Israel,2005,2,"(34.851612, 31.046051)",
5079,United States of America,Kazakhstan,2005,80,"(66.923684, 48.019573)",
5080,United States of America,Kenya,2005,1,"(37.906193, -0.023559)",
5081,United States of America,Kyrgyzstan,2005,38,"(74.766098, 41.20438)",
5082,United States of America,Lao People's Dem. Rep.,2005,8517,,
5083,United States of America,Latvia,2005,25,"(24.603189, 56.879635)",
5084,United States of America,Liberia,2005,4289,"(-9.429499, 6.428055)",
5085,United States of America,Lithuania,2005,9,"(23.881275, 55.169438)",
5086,United States of America,Madagascar,2005,1,"(46.869107, -18.766947)",
5087,United States of America,Mauritania,2005,3,"(-10.940835, 21.00789)",
5088,United States of America,Myanmar,2005,1447,,
5089,United States of America,Namibia,2005,4,"(18.49041, -22.95764)",
5090,United States of America,Nigeria,2005,11,"(8.675277, 9.081999)",
5091,United States of America,Pakistan,2005,9,"(69.345116, 30.375321)",
5092,United States of America,Rep. of Moldova,2005,1016,,
5093,United States of America,Russian Federation,2005,5982,,
5094,United States of America,Rwanda,2005,183,"(29.873888, -1.940278)",
5095,United States of America,Senegal,2005,1,"(-14.452362, 14.497401)",
5096,United States of America,Serbia and Kosovo: S/RES/1244 (1999),2005,40,,
5097,United States of America,Sierra Leone,2005,829,"(-11.779889, 8.460555)",
5098,United States of America,Somalia,2005,10405,"(46.199616, 5.152149)",
5099,United States of America,Sudan,2005,2205,"(30.217636, 12.862807)",
5100,United States of America,Syrian Arab Rep.,2005,7,,
5101,United States of America,Tajikistan,2005,6,"(71.276093, 38.861034)",
5102,United States of America,Togo,2005,72,"(0.824782, 8.619543)",
5103,United States of America,Turkmenistan,2005,1,"(59.556278, 38.969719)",
5104,United States of America,Uganda,2005,10,"(32.290275, 1.373333)",
5105,United States of America,Ukraine,2005,2889,"(31.16558, 48.379433)",
5106,United States of America,Uzbekistan,2005,271,"(64.585262, 41.377491)",
5107,United States of America,Viet Nam,2005,2079,,
5108,United States of America,Yemen,2005,1,"(48.516388, 15.552727)",
5109,United States of America,Zimbabwe,2005,2,"(29.154857, -19.015438)",
5117,Australia,Congo,2006,100,,"(133.775136, -25.274398)"
5118,Australia,Dem. Rep. of the Congo,2006,534,,"(133.775136, -25.274398)"
5126,Australia,Iran (Islamic Rep. of),2006,186,,"(133.775136, -25.274398)"
5131,Australia,Lao People's Dem. Rep.,2006,6,,"(133.775136, -25.274398)"
5134,Australia,Myanmar,2006,1754,,"(133.775136, -25.274398)"
5138,Australia,Russian Federation,2006,8,,"(133.775136, -25.274398)"
5141,Australia,Serbia and Kosovo: S/RES/1244 (1999),2006,38,,"(133.775136, -25.274398)"
5147,Australia,Syrian Arab Rep.,2006,17,,"(133.775136, -25.274398)"
5149,Australia,Tibetan,2006,15,,"(133.775136, -25.274398)"
5153,Australia,United Kingdom of Great Britain and Northern Ireland,2006,5,,"(133.775136, -25.274398)"
5154,Australia,United Rep. of Tanzania,2006,25,,"(133.775136, -25.274398)"
5173,Canada,Central African Rep.,2006,6,,"(-106.346771, 56.130366)"
5177,Canada,Congo,2006,32,,"(-106.346771, 56.130366)"
5180,Canada,Dem. Rep. of the Congo,2006,561,,"(-106.346771, 56.130366)"
5195,Canada,Iran (Islamic Rep. of),2006,407,,"(-106.346771, 56.130366)"
5205,Canada,Myanmar,2006,806,,"(-106.346771, 56.130366)"
5209,Canada,Palestinian,2006,7,,"(-106.346771, 56.130366)"
5211,Canada,Russian Federation,2006,129,,"(-106.346771, 56.130366)"
5214,Canada,Serbia and Kosovo: S/RES/1244 (1999),2006,61,,"(-106.346771, 56.130366)"
5218,Canada,Stateless,2006,71,,"(-106.346771, 56.130366)"
5220,Canada,Syrian Arab Rep.,2006,21,,"(-106.346771, 56.130366)"
5229,Canada,United Rep. of Tanzania,2006,9,,"(-106.346771, 56.130366)"
5230,Canada,United States of America,2006,1,,"(-106.346771, 56.130366)"
5232,Canada,Venezuela (Bolivarian Republic of),2006,2,,"(-106.346771, 56.130366)"
5233,Canada,Viet Nam,2006,44,,"(-106.346771, 56.130366)"
5242,Denmark,Dem. Rep. of the Congo,2006,231,,"(9.501785, 56.26392)"
5244,Denmark,Iran (Islamic Rep. of),2006,33,,"(9.501785, 56.26392)"
5246,Denmark,Myanmar,2006,162,,"(9.501785, 56.26392)"
5248,Denmark,Russian Federation,2006,1,,"(9.501785, 56.26392)"
5256,Finland,Dem. Rep. of the Congo,2006,44,,"(25.748151, 61.92411)"
5257,Finland,Iran (Islamic Rep. of),2006,119,,"(25.748151, 61.92411)"
5258,Finland,Myanmar,2006,206,,"(25.748151, 61.92411)"
5259,Finland,Various/unknown,2006,23,,"(25.748151, 61.92411)"
5260,Ireland,Dem. Rep. of the Congo,2006,11,,"(-8.24389, 53.41291)"
5262,Ireland,Iran (Islamic Rep. of),2006,180,,"(-8.24389, 53.41291)"
5270,Netherlands,Central African Rep.,2006,1,,"(5.291266, 52.132633)"
5273,Netherlands,Dem. Rep. of the Congo,2006,49,,"(5.291266, 52.132633)"
5276,Netherlands,Iran (Islamic Rep. of),2006,8,,"(5.291266, 52.132633)"
5280,Netherlands,Myanmar,2006,170,,"(5.291266, 52.132633)"
5282,Netherlands,Russian Federation,2006,7,,"(5.291266, 52.132633)"
5286,Netherlands,Syrian Arab Rep.,2006,3,,"(5.291266, 52.132633)"
5293,New Zealand,Congo,2006,96,,"(174.885971, -40.900557)"
5294,New Zealand,Dem. Rep. of the Congo,2006,7,,"(174.885971, -40.900557)"
5298,New Zealand,Iran (Islamic Rep. of),2006,42,,"(174.885971, -40.900557)"
5300,New Zealand,Lao People's Dem. Rep.,2006,2,,"(174.885971, -40.900557)"
5301,New Zealand,Myanmar,2006,424,,"(174.885971, -40.900557)"
5303,New Zealand,Palestinian,2006,2,,"(174.885971, -40.900557)"
5308,New Zealand,Viet Nam,2006,7,,"(174.885971, -40.900557)"
5315,Norway,Dem. Rep. of the Congo,2006,203,,"(8.468946, 60.472024)"
5318,Norway,Iran (Islamic Rep. of),2006,7,,"(8.468946, 60.472024)"
5320,Norway,Myanmar,2006,484,,"(8.468946, 60.472024)"
5322,Norway,Russian Federation,2006,14,,"(8.468946, 60.472024)"
5325,Norway,Stateless,2006,1,,"(8.468946, 60.472024)"
5326,Norway,Syrian Arab Rep.,2006,1,,"(8.468946, 60.472024)"
5330,Norway,Viet Nam,2006,47,,"(8.468946, 60.472024)"
5337,Sweden,Central African Rep.,2006,11,,"(18.643501, 60.128161)"
5341,Sweden,Congo,2006,137,,"(18.643501, 60.128161)"
5344,Sweden,Dem. Rep. of the Congo,2006,5,,"(18.643501, 60.128161)"
5353,Sweden,Iran (Islamic Rep. of),2006,178,,"(18.643501, 60.128161)"
5359,Sweden,Myanmar,2006,292,,"(18.643501, 60.128161)"
5365,Sweden,Russian Federation,2006,76,,"(18.643501, 60.128161)"
5369,Sweden,Stateless,2006,4,,"(18.643501, 60.128161)"
5371,Sweden,Syrian Arab Rep.,2006,1,,"(18.643501, 60.128161)"
5374,Sweden,Viet Nam,2006,10,,"(18.643501, 60.128161)"
5377,United Kingdom of Great Britain and Northern Ireland,Afghanistan,2006,1,"(67.709953, 33.93911)",
5378,United Kingdom of Great Britain and Northern Ireland,Burundi,2006,4,"(29.918886, -3.373056)",
5379,United Kingdom of Great Britain and Northern Ireland,Dem. Rep. of the Congo,2006,134,,
5380,United Kingdom of Great Britain and Northern Ireland,Eritrea,2006,1,"(39.782334, 15.179384)",
5381,United Kingdom of Great Britain and Northern Ireland,Ethiopia,2006,79,"(40.489673, 9.145)",
5382,United Kingdom of Great Britain and Northern Ireland,Iran (Islamic Rep. of),2006,3,,
5383,United Kingdom of Great Britain and Northern Ireland,Iraq,2006,4,"(43.679291, 33.223191)",
5384,United Kingdom of Great Britain and Northern Ireland,Liberia,2006,1,"(-9.429499, 6.428055)",
5385,United Kingdom of Great Britain and Northern Ireland,Myanmar,2006,81,,
5386,United Kingdom of Great Britain and Northern Ireland,Somalia,2006,7,"(46.199616, 5.152149)",
5387,United Kingdom of Great Britain and Northern Ireland,Sudan,2006,63,"(30.217636, 12.862807)",
5388,United States of America,Afghanistan,2006,658,"(67.709953, 33.93911)",
5389,United States of America,Albania,2006,1,"(20.168331, 41.153332)",
5390,United States of America,Algeria,2006,1,"(1.659626, 28.033886)",
5391,United States of America,Angola,2006,13,"(17.873887, -11.202692)",
5392,United States of America,Armenia,2006,87,"(45.038189, 40.069099)",
5393,United States of America,Azerbaijan,2006,77,"(47.576927, 40.143105)",
5394,United States of America,Bangladesh,2006,2,"(90.356331, 23.684994)",
5395,United States of America,Belarus,2006,350,"(27.953389, 53.709807)",
5396,United States of America,Bhutan,2006,3,"(90.433601, 27.514162)",
5397,United States of America,Bosnia and Herzegovina,2006,16,"(17.679076, 43.915886)",
5398,United States of America,Burundi,2006,466,"(29.918886, -3.373056)",
5399,United States of America,Côte d'Ivoire,2006,23,"(-5.54708, 7.539989)",
5400,United States of America,Cambodia,2006,9,"(104.990963, 12.565679)",
5401,United States of America,Cameroon,2006,29,"(12.354722, 7.369722)",
5402,United States of America,Central African Rep.,2006,23,,
5403,United States of America,Chad,2006,4,"(18.732207, 15.454166)",
5404,United States of America,China,2006,21,"(104.195397, 35.86166)",
5405,United States of America,Colombia,2006,115,"(-74.297333, 4.570868)",
5406,United States of America,Congo,2006,66,,
5407,United States of America,Costa Rica,2006,2,"(-83.753428, 9.748917)",
5408,United States of America,Croatia,2006,1,"(15.2, 45.1)",
5409,United States of America,Cuba,2006,3135,"(-77.781167, 21.521757)",
5410,United States of America,Dem. People's Rep. of Korea,2006,9,,
5411,United States of America,Dem. Rep. of the Congo,2006,405,,
5412,United States of America,Egypt,2006,2,"(30.802498, 26.820553)",
5413,United States of America,Equatorial Guinea,2006,11,"(10.267895, 1.650801)",
5414,United States of America,Eritrea,2006,539,"(39.782334, 15.179384)",
5415,United States of America,Estonia,2006,7,"(25.013607, 58.595272)",
5416,United States of America,Ethiopia,2006,1271,"(40.489673, 9.145)",
5417,United States of America,Gambia,2006,6,"(-15.310139, 13.443182)",
5418,United States of America,Georgia,2006,4,"(43.356892, 42.315407)",
5419,United States of America,Ghana,2006,7,"(-1.023194, 7.946527)",
5420,United States of America,Indonesia,2006,10,"(113.921327, -0.789275)",
5421,United States of America,Iran (Islamic Rep. of),2006,2792,,
5422,United States of America,Iraq,2006,202,"(43.679291, 33.223191)",
