,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
525,Canada,Lao People's Dem. Rep.,1983,429,,"(-106.346771, 56.130366)"
529,Canada,Russian Federation,1983,98,,"(-106.346771, 56.130366)"
530,Canada,Serbia and Kosovo: S/RES/1244 (1999),1983,53,,"(-106.346771, 56.130366)"
534,Canada,Various/unknown,1983,859,,"(-106.346771, 56.130366)"
535,Canada,Viet Nam,1983,3066,,"(-106.346771, 56.130366)"
536,Denmark,Various/unknown,1983,491,,"(9.501785, 56.26392)"
537,Finland,Various/unknown,1983,138,,"(25.748151, 61.92411)"
538,Netherlands,Various/unknown,1983,409,,"(5.291266, 52.132633)"
540,New Zealand,Lao People's Dem. Rep.,1983,20,,"(174.885971, -40.900557)"
541,New Zealand,Viet Nam,1983,131,,"(174.885971, -40.900557)"
542,Norway,Various/unknown,1983,879,,"(8.468946, 60.472024)"
548,Sweden,Various/unknown,1983,929,,"(18.643501, 60.128161)"
549,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1983,1222,,
550,United States of America,Afghanistan,1983,2926,"(67.709953, 33.93911)",
551,United States of America,Albania,1983,70,"(20.168331, 41.153332)",
552,United States of America,Angola,1983,10,"(17.873887, -11.202692)",
553,United States of America,Argentina,1983,2,"(-63.616672, -38.416097)",
554,United States of America,Bulgaria,1983,140,"(25.48583, 42.733883)",
555,United States of America,Cambodia,1983,13115,"(104.990963, 12.565679)",
556,United States of America,Cuba,1983,666,"(-77.781167, 21.521757)",
557,United States of America,Czech Rep.,1983,1335,,
558,United States of America,Dem. Rep. of the Congo,1983,11,,
559,United States of America,Ethiopia,1983,2604,"(40.489673, 9.145)",
560,United States of America,Hungary,1983,662,"(19.503304, 47.162494)",
561,United States of America,Iran (Islamic Rep. of),1983,947,,
562,United States of America,Iraq,1983,1583,"(43.679291, 33.223191)",
563,United States of America,Lao People's Dem. Rep.,1983,2834,,
564,United States of America,Mozambique,1983,11,"(35.529562, -18.665695)",
